"ID","AgeGroup","Gender","ActionCount","ActionSeq_Collapsed","GradedScore","ResponseTime","LiteracyScore","NumeracyScore"
7,"35-39","Male",3,"START,NEXT_INQUIRY,END","7",48812,237.12923,263.93582
13,"40-44","Male",23,"START,TAB,TAB,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",213294,304.22325,284.13901
21,"60-65","Male",6,"START,COMBOBOX,TEXTLINK,COMBOBOX,NEXT_INQUIRY,END","7",88859,240.99591,234.83045
26,"35-39","Male",41,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TOOLBAR_HISTORY_BACK,TAB,CHECKBOX,BUTTON,BUTTON,TAB,TAB,TAB,TAB,TAB,TAB,TAB,COMBOBOX,BUTTON,BUTTON,BUTTON,TAB,TAB,TAB,TAB,TAB,TAB,TAB,TAB,TAB,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,TEXTBOX_ONFOCUS,TEXTBOX_KILLFOCUS,TEXTBOX_ONFOCUS,TEXTBOX_KILLFOCUS,BUTTON,NEXT_INQUIRY,END","1",262503,277.0523,258.88715
27,"45-49","Female",18,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",223755,262.84841,271.16533
31,"60-65","Female",26,"START,TEXTLINK,COMBOBOX,BUTTON,TEXTBOX_ONFOCUS,TEXTBOX_KILLFOCUS,BUTTON,COMBOBOX,BUTTON,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",260945,252.92216,282.24804
34,"40-44","Male",17,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END","7",160384,284.06012,309.69789
35,"40-44","Male",26,"START,TAB,TAB,COMBOBOX,COMBOBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",194714,309.82202,305.72116
36,"35-39","Female",23,"START,COMBOBOX,COMBOBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",201698,251.17082,161.91428
38,"40-44","Male",11,"START,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,BUTTON,BUTTON,COMBOBOX,NEXT_INQUIRY,END","7",108614,141.12298,146.65565
42,"55-59","Male",22,"START,BOX_PRESS,TOOLBAR_HISTORY_BACK,TEXTLINK,TEXTLINK,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",294403,272.13392,240.55451
47,"60-65","Female",24,"START,NEXT_INQUIRY,END_CANCEL,COMBOBOX,BUTTON,BUTTON,TEXTLINK,COMBOBOX,TEXTLINK,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",211658,240.77987,230.31443
49,"30-34","Female",23,"START,TAB,TAB,COMBOBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,TAB,TAB,BUTTON,BUTTON,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END","7",186124,319.67581,292.19582
56,"60-65","Male",15,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,TAB,TAB,BUTTON,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",243126,245.45301,262.85104
59,"50-54","Female",31,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TOOLBAR,TOOLBAR,TAB,CHECKBOX,TAB,TAB,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",136269,290.51194,290.39206
61,"45-49","Female",19,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",166925,185.39619,215.09561
62,"60-65","Male",31,"START,TEXTLINK,TEXTLINK,TAB,TOOLBAR,TOOLBAR,TOOLBAR,TOOLBAR,TAB,TOOLBAR,TOOLBAR,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,BUTTON,TAB,TAB,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",283297,315.63193,305.77038
69,"30-34","Female",3,"START,NEXT_INQUIRY,END","7",8761,199.60886,205.99217
