,ID,AgeGroup,Gender,ActionCount,ActionSeq_Collapsed,GradedScore,ResponseTime,LiteracyScore,NumeracyScore,Country
0,7,35-39,Male,3,"START,NEXT_INQUIRY,END",7,48812,237.12923,263.93582,UK
1,13,40-44,Male,23,"START,TAB,TAB,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END",1,213294,304.22325,284.13901,UK
2,21,60-65,Male,6,"START,COMBOBOX,TEXTLINK,COMBOBOX,NEXT_INQUIRY,END",7,88859,240.99591,234.83045,UK
3,26,35-39,Male,41,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TOOLBAR_HISTORY_BACK,TAB,CHECKBOX,BUTTON,BUTTON,TAB,TAB,TAB,TAB,TAB,TAB,TAB,COMBOBOX,BUTTON,BUTTON,BUTTON,TAB,TAB,TAB,TAB,TAB,TAB,TAB,TAB,TAB,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,TEXTBOX_ONFOCUS,TEXTBOX_KILLFOCUS,TEXTBOX_ONFOCUS,TEXTBOX_KILLFOCUS,BUTTON,NEXT_INQUIRY,END",1,262503,277.0523,258.88715,UK
4,27,45-49,Female,18,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END",7,223755,262.84841,271.16533,UK
5,31,60-65,Female,26,"START,TEXTLINK,COMBOBOX,BUTTON,TEXTBOX_ONFOCUS,TEXTBOX_KILLFOCUS,BUTTON,COMBOBOX,BUTTON,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END",7,260945,252.92216,282.24804,UK
6,34,40-44,Male,17,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END",7,160384,284.06012,309.69789,UK
7,35,40-44,Male,26,"START,TAB,TAB,COMBOBOX,COMBOBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END",1,194714,309.82202,305.72116,UK
8,36,35-39,Female,23,"START,COMBOBOX,COMBOBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END",7,201698,251.17082,161.91428,UK
9,38,40-44,Male,11,"START,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,BUTTON,BUTTON,COMBOBOX,NEXT_INQUIRY,END",7,108614,141.12298,146.65565,UK
10,42,55-59,Male,22,"START,BOX_PRESS,TOOLBAR_HISTORY_BACK,TEXTLINK,TEXTLINK,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END",7,294403,272.13392,240.55451,UK
11,47,60-65,Female,24,"START,NEXT_INQUIRY,END_CANCEL,COMBOBOX,BUTTON,BUTTON,TEXTLINK,COMBOBOX,TEXTLINK,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END",7,211658,240.77987,230.31443,UK
12,49,30-34,Female,23,"START,TAB,TAB,COMBOBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,TAB,TAB,BUTTON,BUTTON,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END",7,186124,319.67581,292.19582,UK
13,56,60-65,Male,15,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,TAB,TAB,BUTTON,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END",1,243126,245.45301,262.85104,UK
14,59,50-54,Female,31,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TOOLBAR,TOOLBAR,TAB,CHECKBOX,TAB,TAB,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END",1,136269,290.51194,290.39206,UK
15,61,45-49,Female,19,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END",7,166925,185.39619,215.09561,UK
16,62,60-65,Male,31,"START,TEXTLINK,TEXTLINK,TAB,TOOLBAR,TOOLBAR,TOOLBAR,TOOLBAR,TAB,TOOLBAR,TOOLBAR,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,BUTTON,TAB,TAB,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END",1,283297,315.63193,305.77038,UK
17,69,30-34,Female,3,"START,NEXT_INQUIRY,END",7,8761,199.60886,205.99217,UK
18,73,35-39,Male,28,"START,TAB,TAB,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END",7,185101,286.34041,294.18412,UK
19,77,16-19,Male,21,"START,TAB,TAB,COMBOBOX,COMBOBOX,TAB,TAB,BUTTON,TAB,TAB,CHECKBOX,BUTTON,BUTTON,TAB,TAB,COMBOBOX,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END",7,146904,228.34644,247.63362,UK
20,102,35-39,Male,35,"START,TAB,TOOLBAR,TOOLBAR,TOOLBAR,TOOLBAR,TOOLBAR,TOOLBAR,TOOLBAR,TAB,BOX_PRESS,TOOLBAR_HISTORY_BACK,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,TAB,TAB,TAB,TAB,NEXT_INQUIRY,END",7,191932,245.74591,258.59398,UK
21,103,35-39,Female,5,"START,TEXTLINK,TEXTLINK,NEXT_INQUIRY,END",7,63388,276.62532,267.23343,UK
22,107,30-34,Male,7,"START,TEXTLINK,COMBOBOX,TEXTLINK,TAB,NEXT_INQUIRY,END",7,88614,258.47337,257.53623,UK
