AgeGroup,Gender,ActionCount,ActionSequence,GradedScore,ResponseTime,LiteracyScore,NumeracyScore,Country
45-49,Female,6,0.15971184113349843,7,33985,279.01314,249.67735,UK
50-54,Male,25,0.707640920852242,1,97912,275.76138,288.5899,US
16-19,Male,26,0.6193371298839687,1,134260,319.14865,352.22462,US
35-39,Female,16,0.10565882737327212,7,213415,345.61646,325.87296,UK
20-24,Male,21,0.3109654609373984,1,197916,319.14355,322.2932,US
16-19,Female,31,0.4553820730493585,1,224174,265.93249,324.56125,UK
16-19,Female,20,0.47402757220852104,1,204666,320.71498,325.51855,UK
55-59,Female,24,0.20392050814868376,1,242887,256.90981,255.93908,UK
30-34,Female,22,0.6468557658655423,1,207657,306.49725,260.56205,US
20-24,Female,20,0.5113978241822073,7,187977,289.18937,185.3961,UK
16-19,Female,20,0.5364857638643742,0,134759,279.77586,268.01014,US
60-65,Male,3,0.12517004927222333,7,61740,178.43984,170.99515,UK
40-44,Female,29,0.8638195122146533,1,181164,318.45085,296.87571,US
45-49,Female,22,0.686211567095269,1,275900,274.37076,304.10916,UK
55-59,Female,17,0.6400579442023329,7,91173,207.58204,189.64105,UK
50-54,Female,22,0.24101121730365777,0,91141,313.47644,265.53409,US
55-59,Female,40,0.9634815360296833,1,271558,312.26287,298.5422,UK
35-39,Female,55,0.9621809359138243,1,424356,272.43096,265.6434,UK
55-59,Female,24,0.418812080722844,0,163822,226.52392,258.08926,US
50-54,Male,24,0.4043122925237385,7,200229,227.25395,295.70232,UK
20-24,Female,17,0.4061516376317077,0,371019,212.02482,195.29887,US
60-65,Male,29,0.6091476366484512,1,380522,239.48614,232.76503,UK
35-39,Male,18,0.4046243758175603,0,185293,188.22811,205.50159,US
30-34,Male,20,0.41950094549298417,0,142336,303.82567,213.12553,US
60-65,Female,26,0.7279507051827184,1,184738,286.2688,269.37833,UK
60-65,Male,32,0.5802342203511667,1,72665,340.121,251.13336,US
60-65,Female,17,0.17367801029226304,1,118130,371.94807,332.83782,US
55-59,Male,17,0.26093920218514244,0,141879,258.49943,249.98406,US
35-39,Male,36,0.48447811599451596,1,316529,258.12285,267.19968,UK
